MedCodeId	Term	OriginalReadCode	CleansedReadCode	SnomedCTConceptId	SnomedCTDescriptionId	Release	EmisCodeCategoryId
249732015	No family history diabetes	1228	1228.00	160274005	249732015		7
249794016	FH: Diabetes mellitus	1252	1252.00	160303001	249794016		7
250064017	FH: Diabetes in pregnancy	12G2	12G2.00	160402005	250064017		7
1221255018	No significant family history of diabetes	11542	1154200	160274005	1221255018		7
2549389017	FH: Diabetes mellitus in first degree relative	1253	1253.00	416855002	2549389017		7
2773644011	Family history of diabetes mellitus type 1	12520	1252000	430678008	2773644011		7
2773645012	Family history of diabetes mellitus type 2	12521	1252100	430679000	2773645012		7
857531000006117	No FH: diabetes	EMISNOFH5		857531000006101	857531000006117		7
958041000006113	FH: Diabetes mellitus brother	EMISNQFH4		958041000006109	958041000006113		7
418920011	Diabetic child	13L4-1	13L4.11	444094009	2840938016		7
1227610014	[V]Family history of diabetes mellitus (DM)	ZV180-1	ZV18011	160303001	249794016		7
339351000006110	[V]Family history of diabetes mellitus	ZV180	ZV18000	160303001	2666212011		7
4530811000006117	Family history: Diabetes in pregnancy	^ESCTFA453081		160402005	2667811019		7
4528531000006114	No family history of diabetes	^ESCTNO452853		160274005	249733013		7
6898471000006112	Family history: Diabetes mellitus in first degree relative	^ESCTFA689847		416855002	2621891010		7
958021000006118	FH: Diabetes mellitus child	EMISNQFH2		958021000006102	958021000006118		7
958031000006115	FH: Diabetes mellitus sister	EMISNQFH3		958031000006104	958031000006115		7
958051000006110	FH: Diabetes mellitus father	EMISNQFH5		958051000006106	958051000006110		7
371002011	Diabetic relative	13LZ-1	13LZ.11	105452009	169519017		7
460375010	[V]Family history of diabetes mellitus	ZV198	ZV19800	160303001	2666212011		7
958011000006114	FH: Diabetes mellitus in first degree relative	EMISNQFH1		958011000006105	958011000006114		7
958061000006112	FH: Diabetes mellitus mother	EMISNQFH6		958061000006108	958061000006112		7
1751441000006116	Family history of diabetes mellitus type II	12521-1	1252111	430679000	2773645012		7
